artist,title
timbaland & magoo,drop
luciano,never give up my pride
jodeci,freek'n you
led zeppelin,carouselambra
bing crosby,silent night
the black angels,comanche moon
popa chubby,sweat
pennywise,rules
pet shop boys,always on my mind
avicii,without you (feat. sandro cavazza)
the dells,love is missing from our lives
charlie hunter,creole
john mayall & the bluesbreakers,it ain't right
whitesnake,till the day i die
vandenberg,burning heart
ella fitzgerald,a woman is a sometime thing
the duprees,the sky's the limit
bad religion,yesterday
the beatles,tell me why
wayman tisdale,when i opened up my eyes
al stewart,sirens of titan
sun ra,but not for me
taylor mcferrin,so cold in the summer
merle haggard,silver wings
(hed) p.e.,raise hell
marc antoine,latin quarter
bob dylan,to be alone with you
michael franks,monkey see-monkey do
collin raye,a bible and a bus ticket home
placebo,every you every me
david bowie,quicksand
burning spear,marcus say jah no dead
the gun club,preaching the blues
ted nugent,"workin' hard, playin' hard"
whitesnake,victim of love
jah shaka,school of dub
incubus,out from under
labi siffre,"crying, laughing, loving, lying"
slim thug,diamonds
the dear hunter,what it means to be alone
wishbone ash,handy
papa roach,blood brothers
311,hey yo
the blackwater fever,the blackwater fever
black rob,i love you baby
vern gosdin,stone cold heart
"bobby ""blue"" bland",i pity the fool
alton ellis,breaking up
fleet foxes,battery kinzie
genesis,second home by the sea
michael jackson,you are there
billie holiday,deep song
rihanna,california king bed
yazmin lacey,marie
ray price,born to lose
alice cooper,gail
robert cray,where do i go from here
crystal gayle,ready for the times to get better
tanya tucker,if your heart ain't busy tonight
ronnie milsap,i might have said
jon bellion,hand of god
joe walsh,alphabetical order
lee ann womack,the healing kind
primus,too many puppies
neil diamond,america
miranda lambert,smoking jacket
gary allan,i've got a quarter in my pocket
dan fogelberg,only the heart may know
the heptones,in love with you
don gibson,above and beyond
oscar peterson,bill
judy collins,bread and roses
faith hill,it will be me
afi,dancing through sunday
roy orbison,the crowd
the flying eyes,bad blood
coldplay,politik
champion jack dupree,ain't that a shame
the black angels,the sniper
rosemary clooney,mandy
james cotton,diggin' my potatoes
sonic youth,androgynous mind
cale dodds,what we gonna do about it
the black keys,lies
mikey dread,props-man style
jane monheit,a time for love
diane schuur,teach me tonight
peggy scott-adams,"part time lover, full time fool"
josh turner,nowhere fast
herbie mann,one note samba
glen campbell,god only knows
jesse & joy,la de la mala suerte
don williams,lone star state of mind
connie francis,i have but one heart
vince gill,maybe tonight
bette midler,when a man loves a woman
all them witches,open passageways
culture,elijah
george strait,the cowboy rides away
glen glenn,"dim lights, thick smoke and loud loud music"
ella fitzgerald,strike up the band
phish,friday
blu cantrell,hit 'em up style (oops!)
dexys midnight runners,there there my dear
outkast,e.t. (extraterrestrial)
nazareth,talkin' 'bout love
green day,stuck with me
dave matthews,gravedigger
richard bona,kalabancoro
eric darius,goin' all out
beastie boys,jimmy james
avril lavigne,i'm with you
george jones,multiply the heartaches
leaf beach,warm brew
badbadnotgood,ray gun
iration,home
prince buster,big five
david houston,from a jack to a king
the earls,remember then
mike pinto,a thousand years ago
the saints,follow the leader
sensi trails,she love
ella fitzgerald,into each life some rain must fall
the police,one world (not three)
chris ledoux,so you want to be a cowboy
blind willie johnson,i know his blood can make me whole
creed,what if
doris day,"ready, willing and able"
cole swindell,somebody's been drinkin'
tame impala,slide through my fingers
ray campi,the crossing
van halen,feels so good
swingrowers,the queen of swing
nina simone,in the evening by the moonlight
night shield,the night away
frankie lymon,diana
little river band,no more tears
duke dumont,ocean drive
ufo,give her the gun
george jones,a house without love
freddie hubbard,the things we did last summer
whispering lion,you ain't cool
priestess,lay down
the who,the good's gone
bob dylan,masters of war
bobby bare,music city usa
the kingston trio,coast of california
warren haynes,do you feel like we do
panic! at the disco,impossible year
bad religion,i want something more
chris knight,cry lonely
tha alkaholiks,only when i'm drunk
minnie riperton,seeing you this way
van morrison,these are the days
willie nelson,funny how time slips away
don gibson,do you know my jesus
mobb deep,out of control
gary puckett & the union gap,"woman, woman"
rob zombie,sick bubblegum
aretha franklin,can't you just see me
thievery corporation,strike the root
conway twitty,hello darlin'
corey smith,bend
marvin sease,it's too late
bunny wailer,get up stand up
johnny cash,danny boy
b.b. king,joe cool
will reagan,set a fire
the ethiopians,i love jah
bo diddley,bo diddley is a lover
johnny hates jazz,shattered dreams
the cure,to wish impossible things
yoko ono,"sisters, o sisters"
brownie mcghee,walking blues
cardi b,ring (feat. kehlani)
sinéad o'connor,i want your (hands on me)
tucka,moanin'
a great big world,kaleidoscope
lil wayne,bill gates
the band,loving you is sweeter than ever
allan holdsworth,metal fatigue
george hamilton iv,china doll
george benson,when love has grown
queen,one year of love
cassandra wilson,until
uriah heep,circle of hands
alice cooper,i better be good
wailing souls,full moon
da brat,funkdafied
bob dylan,annie's going to sing her song
johnny cash,i'm leaving now
jamey johnson,this time
mndsgn,guess it’s all over
joe cocker,something to say
rory gallagher,i ain't no saint
adam calhoun,racism
dean martin,senza fine
the fabulous thunderbirds,scratch my back
waylon jennings,the road
ry cooder & v.m. bhatt,ganges delta blues
nofx,it's my job to keep punk rock elite
hot tuna,alumni blues (hot tuna)
black uhuru,freedom fighter
bing crosby,let me call you sweetheart
aaron lewis,party in hell
the upsetters,move me
koko taylor,i don't care who knows
dean martin,it's the talk of the town
cocoa tea,keep on doing it
aaron tippin,that's as close as i'll get to loving you
metallica,the memory remains
the shins,caring is creepy
alice cooper,model citizen
josé gonzález,heartbeats
bonnie raitt,i can't help myself
warren zevon,i'll sleep when i'm dead
black uhuru,uptown dub
old crow medicine show,my good gal
blake shelton,all about tonight
henace,at dizzy's
bing crosby,swinging on a star
dr. hook,what about you
the beach boys,country air
chuck berry,i'm through with love
mother mother,the stand
nashville cast,black roses
the platters,i give you my word
pete rock,one life to live (feat. mc eiht)
311,inner light spectrum
dorothy,on my knees
willie bobo,fairy tales for two
slayer,criminally insane
collin raye,open arms
paul mccartney,smile away
cody johnson,there's you
george jones,take the devil out of me
nina simone,keeper of the flame
dean martin,bella bella bambina
johnny mathis,embraceable you
randy crawford,one day i'll fly away
kolohe kai,dream girl
tenor saw,roll call
michael franks,every time she whispers
hank snow,my religion's not old-fashioned (but it's real genuine)
jamiroquai,hollywood swinging
prodigy,keep it thoro
travis porter,bring it back
maxi priest,promises
the sugarcubes,hit
slowy,showdown
hank williams,with tears in my eyes
the tallest man on earth,love is all
george thorogood & the destroyers,willie and the hand jive
the green,count to 3
the sonics,boss hoss
tracy lawrence,today's lonely fool
mild high club,homage
aaron tippin,kiss this
nancy sinatra,summer wine
dion,havin' fun
doyle bramhall ii,life
diana krall,devil may care
smallpools,killer whales
megadeth,poison was the cure
al jarreau,fallin'
alan jackson,i'd love you all over again
william clark green,sticks and stones
the dear hunter,the fire (remains)
johnny mathis,when i fall in love
puddle of mudd,drift and die
the derek trucks band,sailing on
xavier rudd,nanna
suicidal tendencies,how will i laugh tomorrow
"hank williams, jr.",i can't change my tune
ini kamoze,hole in the pumpkin
american authors,best day of my life
no justice,don't walk away
donny hathaway,take a love song
los hermanos arriagada,poema
ryan bingham,endless ways
kathy mattea,lonesome standard time
alice cooper,hey stoopid
the smashing pumpkins,the everlasting gaze
bad religion,supersonic
ali campbell,out from under
kenny chesney,who you'd be today
t-pain,church
the lacs,me and my boys (feat. jb and the moonshine band)
electric light orchestra,getting to the point
the cramps,the creature from the black leather lagoon
violent femmes,jesus walking on the water
foster the people,nevermind
nina simone,who am i?
samantha fish,miles to go
twisted sister,the beast
willie nelson,a wonderful yesterday
cake,nugget
blue öyster cult,you're not the one (i was looking for)
the moody blues,what am i doing here?
stevie nicks,kind of woman
mika,happy ending
dolly parton,down on music row
old dominion,hotel key
buddy guy,one day away
eagles of death metal,miss alissa
peter gabriel,down the dolce vita
ricky nelson,it's all in the game
portishead,biscuit
the righteous brothers,unchained melody
randy rogers band,an empty glass (that's the way the day ends)
all them witches,call me star
dan auerbach,stand by my girl
fall out boy,the patron saint of liars and fakes
uncle tupelo,that year
partynextdoor,break from toronto
the orioles,crying in the chapel
paul anka,(i believe) there's nothing stronger than our love
less than jake,history of a boring town
nas,hate me now (feat. puff daddy)
eddie cochran,sittin' in the balcony
kate bush,breathing
thom yorke,black swan
trace adkins,welcome to hell
eddy arnold,carry me back to the lone prairie
slightly stoopid,wicked rebel
vybz kartel,punani a mi best friend
louis prima,one mint julep
frankie avalon,bobby sox to stockings
mike ryan,the rewrite
josh turner,the difference between a woman and a man
ultramagnetic mc's,"ego trippin' (12"" version)"
alice in chains,frogs
the jayhawks,settled down like rain
waylon jennings,dreaming my dreams with you
humble pie,old time feelin'
katy mcallister,another empty bottle
johnny cash,the walls of a prison
stevie nicks,landslide
kofi,do you really want me
bloodhound gang,foxtrot uniform charlie kilo
wailing souls,act of affection
gary moore,trouble ain't far behind
grupo maximo grado,el hombre del equipo
das efx,jussummen
regina spektor,us
the charlie daniels band,old rock 'n roller
lesley gore,no more tears
nancy sinatra,greenwich village folk song salesman
"grover washington, jr.",be mine (tonight) (feat. grady tate)
four tops,it's the same old song
judy garland,alone together
long beach dub allstars,kick down
bahamas,all the time
vera lynn,besame mucho (kiss me)
steve earle,carrie brown
jack white,weep themselves to sleep
mungo's hi fi,herbalist
misfits,london dungeon
morgan heritage,buss up barriers
bukka white,poor boy long ways from home
don philippe,the world connects
dennis brown,make it with you
tesseract,eden
ratt,shame shame shame
shemekia copeland,married to the blues
merle haggard,i'm free
al kooper,lookin' for a home
swv,use your heart
don williams,i keep putting off getting over you
lil wayne,shoot me down
death from above 1979,my love is shared
donny hathaway,sack full of dreams
tomorrows bad seeds,early prayers
jimmy cliff,waterfall
kirk whalum,now 'til forever
george jones,that heart belongs to me
miguel,how many drinks?
aaron tippin,how's the radio know
michel legrand,sans toi
roger miller,my uncle used to love me but she died
boney james,you can count on me
carrie underwood,change
phil vassar,this is god
the ravens,gotta find my baby
louis armstrong,blue turning grey over you
meshuggah,suffer in truth
randy houser,anything goes
38 special,throw out the line
ben folds,annie waits
govana,better than that
jimi hendrix,can you see me
mumford & sons,not with haste
lefty frizzell,look what thoughts will do
starland vocal band,afternoon delight
john mayall,can't sleep this night
mel tormé,"top hat, white tie and tales"
bobby darin,the more i see you
roy ayers ubiquity,sweet tears
whitesnake,love ain't no stranger
john mayer,all we ever do is say goodbye
collective soul,the world i know
the byrds,you're still on my mind
rise against,injection
minutemen,theatre is the life of you
robben ford,there's no one else
mississippi john hurt,first shot missed him
joe bonamassa,oh beautiful!
wayne hancock,johnny law
patty loveless,don't toss us away
little feat,easy to slip
hours eastly,let them burn
charlie rich,i can't even drink it away
indigo girls,i don't wanna talk about it
dean martin,dream a little dream
john lennon,stand by me
lil scrappy,no problem
les paul,the world is waiting for the sunrise
bee gees,how can you mend a broken heart
the clash,somebody got murdered
michael franti & spearhead,one step closer to you
audioslave,be yourself
sumo,crua chan
kittie,spit
nubiyan twist,figure numatic
echo movement,all night
chicago,happy man
nanci griffith,once in a very blue moon
traveling wilburys,if you belonged to me
donna summer,summer fever
gov't mule,towering fool
the who,"a quick one, while he's away"
larry gatlin & the gatlin brothers,she used to be somebody's baby
metallica,now that we're dead
sting,it's probably me
r.e.m.,stand
heartless bastards,late in the night
arrested development,mr. wendal
mighty diamonds,go seek your rights
daryle singletary,hurts don't it
lefty frizzell,i love you a thousand ways
kenny rogers,what i learned from loving you
the gladiators,war
elvis presley,don't ask me why
das efx,shine
conway twitty,call it what you want to (it's still love)
ub40,silent witness
the abyssinians,there is no end
soja,faith works
salt-n-pepa,let's talk about sex
marty robbins,cry stampede
the magpie salute,in here
melody gardot,he's a tramp
demarco,puppy tail
lil wayne,this what i call her
kevin gates,hard for
todd rundgren,intro
bing crosby,do you hear what i hear?
kendrick lamar,humble.
nas,hero
skinny puppy,assimilate
ella fitzgerald,a fine romance
claude king,little bitty heart
the flaming lips,in the morning of the magicians
keith urban,the fighter
romare,who to love?
sublime,superstar punani
dolly parton,the mystery of the mystery
dave koz,the bright side
the pharcyde,hey you
dexter wansel,the sweetest pain
survivor,i can't hold back
the killers,the way it was
china crisis,black man ray
cultura profética,pal’ río tanamá
spawnbreezie,oh my goodness ft. big steve
lee dorsey,holy cow
ray charles,the right time
waylon jennings,bob wills is still the king
jim reeves,i've lived a lot in my time
ella fitzgerald,i concentrate on you
al green,true love
johnny burnette,you're sixteen
alan jackson,"tall, tall trees"
ted nugent,magic party
tame impala,i don't really mind
bad company,hold on my heart
muddy waters,close to you
chris rea,driving home for christmas
phish,down with disease
sarah mclachlan,elsewhere
tony bennett,if i ruled the world
tinariwen,tamatant tilay
basia,drunk on love
dean martin,you'll always be the one i love
chevelle,face to the floor
pat kelly,how long
manfred mann,it's so easy falling
papa roach,between angels and insects
david bowie,within you
carl smith,hang your head in shame
shirley bassey,i've got you under my skin
lester nowhere,balcony
krokus,ready to burn
john mayer,come back to bed
audioslave,cochise
boston,more than a feeling
sweet,no you don't
aerosmith,amazing
tribal seeds,undercover lover (feat. gonzo)
bad religion,sanity
vince guaraldi trio,thanksgiving theme
suff daddy,macrowave
firefall,baby
colin hay,waiting for my real life to begin
three dog night,eli's coming
del shannon,the search
the jeff healey band,like a hurricane
nofx,perfect government
starship,tomorrow doesn't matter tonight
demi lovato,heart attack
ella fitzgerald,it's a blue world
muddy waters,louisiana blues
america,inspector mills
the expendables,drift away
the searchers,sweets for my sweet
vince gill,love never broke anyone's heart
jethro tull,my god
phish,wilson
tracy lawrence,from what we give
george strait,he must have really hurt you bad
incubus,deep inside
michael jackson,with a child's heart
krokus,long stick goes boom
charlie farley,exposed
eric clapton,lonesome and a long way from home
blue öyster cult,veins
missy elliott,get ur freak on
black flag,black coffee
eagles,please come home for christmas
pop evil,boss's daughter
yes,leave it
abba,love isn't easy (but it sure is hard enough)
jerry garcia,space jam
pure prairie league,still right here in my heart
savage garden,i knew i loved you
meek mill,amen (feat. drake)
the wood brothers,one drop of truth
epmd,gold digger
johnny cash,give it away
magic giant,window
ambrosia,runnin' away
current joys,blondie
electric light orchestra,rain is falling
new edition,lost in love
lil yachty,x men
"peter, paul and mary",if i had a hammer
tammy wynette,alive and well
alice cooper,going home
richard thompson,how i wanted to
mickey gilley,she's pulling me back again
glass tiger,don't forget me (when i'm gone)
stan getz,night and day
susan tedeschi,i fell in love
blake shelton,straight outta cold beer
alton ellis,let him try
live,turn my head
little feat,all that you dream
lou reed,romeo had juliette
steve tyrell,i've got a crush on you
buddy holly,love is strange
jimi hendrix,may this be love
steve miller band,while i'm waiting
drake,in my feelings
one drop,don't you know
the everly brothers,muskrat
al green,the city
the miracles,city of angels
john hammond,don't start me talking
minnie riperton,adventures in paradise
the weeknd,true colors
post malone,stay
james leg,drinking too much
grace potter & the nocturnals,colors
stacey kent,a fine romance
tony bennett,it don't mean a thing (if it ain't got that swing)
bob dylan,goin' to acapulco
godsmack,voices
irma thomas,two winters long
bob dylan,lily of the west
marty robbins,i'll have to make some changes
band of skulls,dull gold heart
muse,supermassive black hole
john anderson,seminole wind
demi lovato,you're my favorite song
will.i.am,i like to move it
rory gallagher,i'm not awake yet
jan & dean,dead man's curve
the kingston trio,"oh, yes, oh!"
daniel caesar,superposition
jeff beck,sugar cane
katastro,angels (live in studio)
radioinactive,left handed cigarettes
the black angels,the prodigal sun
88rising,midsummer madness
doyle bramhall,life by the drop
elton john,(gotta get a) meal ticket
ub40,watchdogs
joe pass,nobody else but me
quiet riot,bang your head (metal health)
louis the child,love is alive
jaymes young,habits of my heart
elton john,tower of babel
paula abdul,the promise of a new day
wire,mercy
grand funk railroad,into the sun
tim mcgraw,she never lets it go to her heart
hollywood undead,i don’t wanna die
old 97's,every night is friday night (without you)
a perfect circle,vanishing
colin james,why'd you lie?
uriah heep,high priestess
ronnie self,big fool
meshuggah,monstrocity
nappy roots,country boyz
sarah vaughan,whatever lola wants (lola gets)
tesseract,of matter
waylon jennings,foolin' around
gilbert o'sullivan,too much attention
gary bartz,need your love
joe nichols,take it off
the allman brothers band,old before my time
phil wickham,the secret place
ned's atomic dustbin,grey cell green
milky chance,cocoon
shaggy,get my party on
ac/dc,breaking the rules
michael martin murphey,love affairs
alabama,keep on dreamin'
denise lasalle,"right place, right time"
j-kwon,do the stevie
mc5,call me animal
ricky skaggs,hallelujah i'm ready
the tractors,settin' the woods on fire
vybz kartel,bet mi money
the mavericks,things i cannot change
godsmack,immune
mike pinto,surf tune
the doobie brothers,no stoppin' us now
rise against,give it all
oingo boingo,grey matter
bumpin uglies,bad decisions
the action,in my lonely room
rage against the machine,people of the sun
blues saraceno,when the devil calls
billy currington,walk on
the avett brothers,st. joseph's
the jam,thick as thieves
brand nubian,play it cool
asleep at the wheel,walking the floor over you
long beach dub allstars,my own life
bob marley & the wailers,real situation
between the buried and me,parallax
snarky puppy,bardis
the ventures,gringo
lavern baker,i cried a tear
alice cooper,wind-up toy
halsey,castle
say anything,a walk through hell
g. love & special sauce,making amends
the pharcyde,the e.n.d.
ella fitzgerald,but not for me
aurora,runaway
kelly clarkson,piece by piece
montell jordan,this is how we do it
dinah shore,i'll walk alone
